Fusion index,Description,Config,Name,OpType,Count,Bounded-by,Execution time,Compute time,Memory time,ICI/NVLink time,ICI/NVLink outbound traffic,ICI/NVLink inbound traffic,Aggregated DCN time,DCN 0 time,PCIe time,Temporary memory size,Persistent memory size,MXU time,VPU time,Transpose time,Permute time,Bytes accessed,Input Tensor Shapes,Output Tensor Shapes,FLOP Count,Op Name,Op Code,Weight Size,Output Shape,parsed_op_type,dim_labels,tile_shapes,num_tiles,max_vmem_demand_bytes,num_mxu_ops,einsum_B_size,einsum_M_size,einsum_N_size,einsum_K_size,vu_softmax_time_ns,Compute Time (ns),Bytes Accessed,DVFS SA Policy,DVFS SA Voltage (V),DVFS SA Frequency (GHz),DVFS VU Policy,DVFS VU Voltage (V),DVFS VU Frequency (GHz),DVFS SRAM Policy,DVFS SRAM Voltage (V),DVFS SRAM Frequency (GHz),DVFS HBM Policy,DVFS HBM Voltage (V),DVFS HBM Frequency (GHz),DVFS ICI Policy,DVFS ICI Voltage (V),DVFS ICI Frequency (GHz),Vmem time,static_energy_sa_J,static_energy_vu_J,static_energy_sram_J,static_energy_hbm_J,static_energy_ici_J,static_energy_other_J,dynamic_energy_sa_J,dynamic_energy_vu_J,dynamic_energy_sram_J,dynamic_energy_hbm_J,dynamic_energy_ici_J,dynamic_energy_other_J,static_energy_J,dynamic_energy_J,total_energy_J,static_power_W,dynamic_power_W,total_power_W,num_setpm_sa,num_setpm_vu,num_setpm_sram,num_setpm_hbm,num_setpm_ici,tflops_per_sec,hbm_bw_GBps,flops_util,hbm_bw_util,DVFS SA Scaling Time (ns),DVFS SA Power Efficiency (%),DVFS VU Scaling Time (ns),DVFS VU Power Efficiency (%),DVFS SRAM Scaling Time (ns),DVFS SRAM Power Efficiency (%),DVFS HBM Scaling Time (ns),DVFS HBM Power Efficiency (%),DVFS ICI Scaling Time (ns),DVFS ICI Power Efficiency (%),DVFS SA Activity Factor,DVFS VU Activity Factor,DVFS SRAM Activity Factor,DVFS HBM Activity Factor,DVFS ICI Activity Factor
2,Fwd-Attention-encoder-Input_rmsnorm,"RMSNorm(x=1x1024x2880,memory_placements=0_0,type=DT_BFLOAT16)",FwdAttentionencoderInputrmsnormXnormRMSNormX,VPU,24,Memory,3974,1695,3974,0,0,0,0,0,0,0,0,0,1695,0,0,11796480,"DT_BFLOAT16:[1,1024,2880]","[DT_BFLOAT16:(1,1024,2880)]",17694720,FwdAttentionencoderInputrmsnormXnormRMSNormX,RMSNorm,0,[],RMSNorm,,,,,0,,,,,0,1695,11796480,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,4.4526220432813295,2764.551616758933,0.4263003641315611,0.9998378360791801,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,Fwd-FullAttention--Q-3,"XlaEinsum(a=1x1024x2880,b=2880x64x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdFullAttentionQ3MatMulQ,MXU,12,Compute,55436,55436,12759,0,0,0,0,0,0,0,0,55436,9236,0,0,37879808,"DT_BFLOAT16:[1,1024,2880],DT_BFLOAT16:[2880,64,64]","[DT_BFLOAT16:(1,1024,64,64)]",24159191040,FwdFullAttentionQ3MatMulQ,Einsum,23592960,[],Einsum,"BLM,MND->BLND","[[1, 1024, 2880], [2880, 64, 64], [1, 1024, 64, 64]]",1,18874368,5888,1,1024,4096,2880,0,55436,37879808,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.8032873944729,636.3792537791327,0.955521212047968,0.23015524548974056,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,Fwd-FullAttention--K-3,"XlaEinsum(a=1x1024x2880,b=2880x8x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdFullAttentionK3MatMulK,MXU,12,Compute,6946,6946,3334,0,0,0,0,0,0,0,0,6946,1154,0,0,9895936,"DT_BFLOAT16:[1,1024,2880],DT_BFLOAT16:[2880,8,64]","[DT_BFLOAT16:(1,1024,8,64)]",3019898880,FwdFullAttentionK3MatMulK,Einsum,2949120,[],Einsum,"BLM,MND->BLND","[[1, 1024, 2880], [2880, 8, 64], [1, 1024, 8, 64]]",1,4194304,736,1,1024,512,2880,0,6946,9895936,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,434.76805067664844,1326.851222826087,0.9532514020855737,0.47987385997326837,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,Fwd-FullAttention--V-3,"XlaEinsum(a=1x1024x2880,b=2880x8x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdFullAttentionV3MatMulV,MXU,12,Compute,6946,6946,3334,0,0,0,0,0,0,0,0,6946,1154,0,0,9895936,"DT_BFLOAT16:[1,1024,2880],DT_BFLOAT16:[2880,8,64]","[DT_BFLOAT16:(1,1024,8,64)]",3019898880,FwdFullAttentionV3MatMulV,Einsum,2949120,[],Einsum,"BLM,MND->BLND","[[1, 1024, 2880], [2880, 8, 64], [1, 1024, 8, 64]]",1,4194304,736,1,1024,512,2880,0,6946,9895936,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,434.76805067664844,1326.851222826087,0.9532514020855737,0.47987385997326837,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,Fwd-FullAttention--FlashAttention-4,"FlashAttention(q=1x1024x64x64,k=1x1024x8x64,v=1x1024x8x64,memory_placements=[0, 0, 0],type=DT_BFLOAT16)",FwdFullAttentionFlashAttention4FlashAttention,MXU,12,Compute,77140,77140,6358,0,0,0,0,0,0,0,0,77140,38550,0,0,18874368,"DT_BFLOAT16:[1,1024,64,64],DT_BFLOAT16:[1,1024,8,64],DT_BFLOAT16:[1,1024,8,64]","[DT_BFLOAT16:(1,1024,64,64)]",17448304640,FwdFullAttentionFlashAttention4FlashAttention,FlashAttention,0,[],FlashAttention,,"[1024, 128]",,802816,8192,64,1024,1024,64,25700,77140,18874368,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,13277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,226.19010422608244,227.8730230749287,0.49593348374109486,0.0824133899005167,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
5,Fwd-FullAttention--Attention_output-5,"XlaEinsum(a=1x1024x64x64,b=64x64x2880,eq=BLND;NDM->BLM,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdFullAttentionAttentionoutput5MatMulattnOutputattnAvgWo,MXU,12,Compute,55436,55436,12759,0,0,0,0,0,0,0,0,55436,9236,0,0,37879808,"DT_BFLOAT16:[1,1024,64,64],DT_BFLOAT16:[64,64,2880]","[DT_BFLOAT16:(1,1024,2880)]",24159191040,FwdFullAttentionAttentionoutput5MatMulattnOutputattnAvgWo,Einsum,23592960,[],Einsum,"BLND,NDM->BLM","[[1, 1024, 64, 64], [64, 64, 2880], [1, 1024, 2880]]",1,13893632,5888,1,1024,2880,4096,0,55436,37879808,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.8032873944729,636.3792537791327,0.955521212047968,0.23015524548974056,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
6,Fwd-FullAttention--Attention_layernorm-6,"LayerNorm(x=1x1024x2880,memory_placements=0_0,type=DT_BFLOAT16)",FwdFullAttentionAttentionlayernorm6YnormLayerNormy,VPU,12,Memory,3974,2259,3974,0,0,0,0,0,0,0,0,0,2259,0,0,11796480,"DT_BFLOAT16:[1,1024,2880]","[DT_BFLOAT16:(1,1024,2880)]",23592960,FwdFullAttentionAttentionlayernorm6YnormLayerNormy,LayerNorm,0,[],LayerNorm,,,,,0,,,,,0,2259,11796480,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,5.936829391041772,2764.551616758933,0.568400485508748,0.9998378360791801,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,Fwd-SlidingAttention--Q-7,"XlaEinsum(a=1x1024x2880,b=2880x64x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdSlidingAttentionQ7MatMulQ,MXU,12,Compute,55436,55436,12759,0,0,0,0,0,0,0,0,55436,9236,0,0,37879808,"DT_BFLOAT16:[1,1024,2880],DT_BFLOAT16:[2880,64,64]","[DT_BFLOAT16:(1,1024,64,64)]",24159191040,FwdSlidingAttentionQ7MatMulQ,Einsum,23592960,[],Einsum,"BLM,MND->BLND","[[1, 1024, 2880], [2880, 64, 64], [1, 1024, 64, 64]]",1,18874368,5888,1,1024,4096,2880,0,55436,37879808,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.8032873944729,636.3792537791327,0.955521212047968,0.23015524548974056,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,Fwd-SlidingAttention--K-7,"XlaEinsum(a=1x128x2880,b=2880x8x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdSlidingAttentionK7MatMulK,MXU,12,Memory,1286,885,1286,0,0,0,0,0,0,0,0,885,144,0,0,3817472,"DT_BFLOAT16:[1,128,2880],DT_BFLOAT16:[2880,8,64]","[DT_BFLOAT16:(1,128,8,64)]",377487360,FwdSlidingAttentionK7MatMulK,Einsum,2949120,[],Einsum,"BLM,MND->BLND","[[1, 128, 2880], [2880, 8, 64], [1, 128, 8, 64]]",1,1441792,92,1,128,512,2880,0,885,3817472,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,293.5360497667185,2764.617302925739,0.6435929470146184,0.9998615923782057,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,Fwd-SlidingAttention--V-7,"XlaEinsum(a=1x128x2880,b=2880x8x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdSlidingAttentionV7MatMulV,MXU,12,Memory,1286,885,1286,0,0,0,0,0,0,0,0,885,144,0,0,3817472,"DT_BFLOAT16:[1,128,2880],DT_BFLOAT16:[2880,8,64]","[DT_BFLOAT16:(1,128,8,64)]",377487360,FwdSlidingAttentionV7MatMulV,Einsum,2949120,[],Einsum,"BLM,MND->BLND","[[1, 128, 2880], [2880, 8, 64], [1, 128, 8, 64]]",1,1441792,92,1,128,512,2880,0,885,3817472,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,293.5360497667185,2764.617302925739,0.6435929470146184,0.9998615923782057,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
