row_type,NP,ND,n_prefill_instances,n_decode_instances,prefill_pool_capacity_rps,decode_pool_capacity_rps,system_throughput_rps,TTFT_prefill_only_ms,kv_transfer_time_ms,TTFT_total_ms,TPOT_ms,is_optimal,dcn_bw_GBps,kv_transfer_sensitivity_ms
allocation_sweep,16,240,1,15,134.89212,198.60444,134.89212,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,32,224,2,14,269.78424,185.364144,185.36415,474.4532,0.713,475.1662,37.7635,True,,
allocation_sweep,48,208,3,13,404.67636,172.123848,172.123853,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,64,192,4,12,539.56848,158.883552,158.883557,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,80,176,5,11,674.4606,145.643256,145.643261,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,96,160,6,10,809.35272,132.40296,132.402964,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,112,144,7,9,944.24484,119.162664,119.162668,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,128,128,8,8,1079.13696,105.922368,105.922371,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,144,112,9,7,1214.02908,92.682072,92.682075,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,160,96,10,6,1348.9212,79.441776,79.441779,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,176,80,11,5,1483.81332,66.20148,66.201482,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,192,64,12,4,1618.70544,52.961184,52.961186,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,208,48,13,3,1753.59756,39.720888,39.720889,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,224,32,14,2,1888.48968,26.480592,26.480593,474.4532,0.713,475.1662,37.7635,False,,
allocation_sweep,240,16,15,1,2023.3818,13.240296,13.240296,474.4532,0.713,475.1662,37.7635,False,,
colocated_baseline,256,0,8,8,,,55.350415,474.4532,0.713,475.1662,72.2668,,,
kv_bw_sensitivity,,,,,,,,474.4532,2.8521,477.3053,,,50,2.8521
kv_bw_sensitivity,,,,,,,,474.4532,1.4261,475.8793,,,100,1.4261
kv_bw_sensitivity,,,,,,,,474.4532,0.713,475.1662,,,200,0.713
kv_bw_sensitivity,,,,,,,,474.4532,0.3565,474.8097,,,400,0.3565
kv_bw_sensitivity,,,,,,,,474.4532,0.1783,474.6315,,,800,0.1783
