Fusion index,Description,Config,Name,OpType,Count,Bounded-by,Execution time,Compute time,Memory time,ICI/NVLink time,ICI/NVLink outbound traffic,ICI/NVLink inbound traffic,Aggregated DCN time,DCN 0 time,PCIe time,Temporary memory size,Persistent memory size,MXU time,VPU time,Transpose time,Permute time,Bytes accessed,Input Tensor Shapes,Output Tensor Shapes,FLOP Count,Op Name,Op Code,Weight Size,Output Shape,parsed_op_type,dim_labels,tile_shapes,num_tiles,max_vmem_demand_bytes,num_mxu_ops,einsum_B_size,einsum_M_size,einsum_N_size,einsum_K_size,vu_softmax_time_ns,Compute Time (ns),Bytes Accessed,DVFS SA Policy,DVFS SA Voltage (V),DVFS SA Frequency (GHz),DVFS VU Policy,DVFS VU Voltage (V),DVFS VU Frequency (GHz),DVFS SRAM Policy,DVFS SRAM Voltage (V),DVFS SRAM Frequency (GHz),DVFS HBM Policy,DVFS HBM Voltage (V),DVFS HBM Frequency (GHz),DVFS ICI Policy,DVFS ICI Voltage (V),DVFS ICI Frequency (GHz),Vmem time,static_energy_sa_J,static_energy_vu_J,static_energy_sram_J,static_energy_hbm_J,static_energy_ici_J,static_energy_other_J,dynamic_energy_sa_J,dynamic_energy_vu_J,dynamic_energy_sram_J,dynamic_energy_hbm_J,dynamic_energy_ici_J,dynamic_energy_other_J,static_energy_J,dynamic_energy_J,total_energy_J,static_power_W,dynamic_power_W,total_power_W,num_setpm_sa,num_setpm_vu,num_setpm_sram,num_setpm_hbm,num_setpm_ici,tflops_per_sec,hbm_bw_GBps,flops_util,hbm_bw_util,DVFS SA Scaling Time (ns),DVFS SA Power Efficiency (%),DVFS VU Scaling Time (ns),DVFS VU Power Efficiency (%),DVFS SRAM Scaling Time (ns),DVFS SRAM Power Efficiency (%),DVFS HBM Scaling Time (ns),DVFS HBM Power Efficiency (%),DVFS ICI Scaling Time (ns),DVFS ICI Power Efficiency (%),DVFS SA Activity Factor,DVFS VU Activity Factor,DVFS SRAM Activity Factor,DVFS HBM Activity Factor,DVFS ICI Activity Factor
2,Fwd-Attention-encoder-Input_rmsnorm,"RMSNorm(x=4x4096x2880,memory_placements=0_0,type=DT_BFLOAT16)",FwdAttentionencoderInputrmsnormXnormRMSNormX,VPU,24,Memory,63574,27106,63574,0,0,0,0,0,0,0,0,0,27106,0,0,188743680,"DT_BFLOAT16:[4,4096,2880]","[DT_BFLOAT16:(4,4096,2880)]",283115520,FwdAttentionencoderInputrmsnormXnormRMSNormX,RMSNorm,0,[],RMSNorm,,,,,0,,,,,0,27106,188743680,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,10983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,4.45332242740743,2764.986472457294,0.42636741990343807,0.9999951075794915,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,Fwd-FullAttention--Q-3,"XlaEinsum(a=4x4096x2880,b=2880x64x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdFullAttentionQ3MatMulQ,MXU,12,Compute,886683,886683,92889,0,0,0,0,0,0,0,0,886683,147777,0,0,275775488,"DT_BFLOAT16:[4,4096,2880],DT_BFLOAT16:[2880,64,64]","[DT_BFLOAT16:(4,4096,64,64)]",386547056640,FwdFullAttentionQ3MatMulQ,Einsum,23592960,[],Einsum,"BLM,MND->BLND","[[4, 2048, 1440], [1440, 64, 64], [4, 2048, 64, 64]]",2,176160768,94208,1,16384,4096,2880,0,886683,275775488,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,153928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.9472964295019,289.65925533702574,0.9558369592937482,0.1047592243533547,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,Fwd-FullAttention--K-3,"XlaEinsum(a=4x4096x2880,b=2880x8x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdFullAttentionK3MatMulK,MXU,12,Compute,110852,110852,38432,0,0,0,0,0,0,0,0,110852,18472,0,0,114098176,"DT_BFLOAT16:[4,4096,2880],DT_BFLOAT16:[2880,8,64]","[DT_BFLOAT16:(4,4096,8,64)]",48318382080,FwdFullAttentionK3MatMulK,Einsum,2949120,[],Einsum,"BLM,MND->BLND","[[4, 4096, 2880], [2880, 8, 64], [4, 4096, 8, 64]]",1,51380224,11776,1,16384,512,2880,0,110852,114098176,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,21018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.88191534658824,958.5953075384297,0.9556936078932479,0.3466890804840614,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,Fwd-FullAttention--V-3,"XlaEinsum(a=4x4096x2880,b=2880x8x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdFullAttentionV3MatMulV,MXU,12,Compute,110852,110852,38432,0,0,0,0,0,0,0,0,110852,18472,0,0,114098176,"DT_BFLOAT16:[4,4096,2880],DT_BFLOAT16:[2880,8,64]","[DT_BFLOAT16:(4,4096,8,64)]",48318382080,FwdFullAttentionV3MatMulV,Einsum,2949120,[],Einsum,"BLM,MND->BLND","[[4, 4096, 2880], [2880, 8, 64], [4, 4096, 8, 64]]",1,51380224,11776,1,16384,512,2880,0,110852,114098176,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,21018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.88191534658824,958.5953075384297,0.9556936078932479,0.3466890804840614,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,Fwd-FullAttention--FlashAttention-4,"FlashAttention(q=4x4096x64x64,k=4x4096x8x64,v=4x4096x8x64,memory_placements=[0, 0, 0],type=DT_BFLOAT16)",FwdFullAttentionFlashAttention4FlashAttention,MXU,12,Compute,4934514,4934514,101718,0,0,0,0,0,0,0,0,4934514,2467237,0,0,301989888,"DT_BFLOAT16:[4,4096,64,64],DT_BFLOAT16:[4,4096,8,64],DT_BFLOAT16:[4,4096,8,64]","[DT_BFLOAT16:(4,4096,64,64)]",1116691496960,FwdFullAttentionFlashAttention4FlashAttention,FlashAttention,0,[],FlashAttention,,"[4096, 128]",,3162112,524288,256,4096,4096,64,1644825,4934514,301989888,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,829150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,226.3022248918536,56.99649448760304,0.4961793140905945,0.020613560393346487,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
5,Fwd-FullAttention--Attention_output-5,"XlaEinsum(a=4x4096x64x64,b=64x64x2880,eq=BLND;NDM->BLM,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdFullAttentionAttentionoutput5MatMulattnOutputattnAvgWo,MXU,12,Compute,886683,886683,84942,0,0,0,0,0,0,0,0,886683,147777,0,0,252182528,"DT_BFLOAT16:[4,4096,64,64],DT_BFLOAT16:[64,64,2880]","[DT_BFLOAT16:(4,4096,2880)]",386547056640,FwdFullAttentionAttentionoutput5MatMulattnOutputattnAvgWo,Einsum,23592960,[],Einsum,"BLND,NDM->BLM","[[4, 4096, 16, 64], [16, 64, 2880], [4, 4096, 2880]]",1,133824512,94208,1,16384,2880,4096,0,886683,252182528,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,153402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.9472964295019,264.8785205648467,0.9558369592937482,0.09579693329650876,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
6,Fwd-FullAttention--Attention_layernorm-6,"LayerNorm(x=4x4096x2880,memory_placements=0_0,type=DT_BFLOAT16)",FwdFullAttentionAttentionlayernorm6YnormLayerNormy,VPU,12,Memory,63574,36142,63574,0,0,0,0,0,0,0,0,0,36142,0,0,188743680,"DT_BFLOAT16:[4,4096,2880]","[DT_BFLOAT16:(4,4096,2880)]",377487360,FwdFullAttentionAttentionlayernorm6YnormLayerNormy,LayerNorm,0,[],LayerNorm,,,,,0,,,,,0,36142,188743680,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,13242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,5.937763236543241,2764.986472457294,0.5684898932045842,0.9999951075794915,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,Fwd-SlidingAttention--Q-7,"XlaEinsum(a=4x4096x2880,b=2880x64x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdSlidingAttentionQ7MatMulQ,MXU,12,Compute,886683,886683,92889,0,0,0,0,0,0,0,0,886683,147777,0,0,275775488,"DT_BFLOAT16:[4,4096,2880],DT_BFLOAT16:[2880,64,64]","[DT_BFLOAT16:(4,4096,64,64)]",386547056640,FwdSlidingAttentionQ7MatMulQ,Einsum,23592960,[],Einsum,"BLM,MND->BLND","[[4, 2048, 1440], [1440, 64, 64], [4, 2048, 64, 64]]",2,176160768,94208,1,16384,4096,2880,0,886683,275775488,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,153928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.9472964295019,289.65925533702574,0.9558369592937482,0.1047592243533547,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,Fwd-SlidingAttention--K-7,"XlaEinsum(a=4x128x2880,b=2880x8x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdSlidingAttentionK7MatMulK,MXU,12,Compute,3483,3483,2164,0,0,0,0,0,0,0,0,3483,577,0,0,6422528,"DT_BFLOAT16:[4,128,2880],DT_BFLOAT16:[2880,8,64]","[DT_BFLOAT16:(4,128,8,64)]",1509949440,FwdSlidingAttentionK7MatMulK,Einsum,2949120,[],Einsum,"BLM,MND->BLND","[[4, 128, 2880], [2880, 8, 64], [4, 128, 8, 64]]",1,2621440,368,1,512,512,2880,0,3483,6422528,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,433.51979328165373,1717.3256711168533,0.9505145332883139,0.6210942752683014,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,Fwd-SlidingAttention--V-7,"XlaEinsum(a=4x128x2880,b=2880x8x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdSlidingAttentionV7MatMulV,MXU,12,Compute,3483,3483,2164,0,0,0,0,0,0,0,0,3483,577,0,0,6422528,"DT_BFLOAT16:[4,128,2880],DT_BFLOAT16:[2880,8,64]","[DT_BFLOAT16:(4,128,8,64)]",1509949440,FwdSlidingAttentionV7MatMulV,Einsum,2949120,[],Einsum,"BLM,MND->BLND","[[4, 128, 2880], [2880, 8, 64], [4, 128, 8, 64]]",1,2621440,368,1,512,512,2880,0,3483,6422528,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,433.51979328165373,1717.3256711168533,0.9505145332883139,0.6210942752683014,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
